,id_descuento,ROP,Incremento Demanda Total (kg),Incremento Rentabilidad Total ($),Costo Promoción ($)
2045,74652,-250718.9946789526,-115203414.28539273,-352314336809.5231,1405215.9759999996
2046,74653,-1432054.2821316812,-115204508.14039272,-352317682029.8126,246022.57499999995
2047,74654,-246159.16422611184,-115201930.68739273,-352309799679.7105,1431227.6400000001
2048,74655,,-60959980.163922325,-186427417247.97275,0.0
2049,74656,-13291350.927750818,-60959961.13192233,-186427359044.43338,14026.216
2050,74657,-9477099.54359749,-60959940.09892233,-186427294721.44876,19671.345
2051,74658,,-54737693.42999999,-167398460183.6464,0.0
2052,74659,,-54737693.42999999,-167398460183.6464,0.0
2053,74660,,-54737693.42999999,-167398460183.6464,0.0
2054,74661,-134.02568309590782,-16826.054204301072,-40496042.42235757,302151.36000000004
2055,74662,-57.1900446196588,-16003.146204301072,-38515511.7005928,673465.3200000002
2056,74663,-21.540278289394614,-13179.601204301074,-31719955.433324426,1472588.005
2057,74664,-65.56202247476106,-21336.205865591397,-51350832.90319365,783240.5249999999
2058,74665,-56.542323162021994,-20789.583865591398,-50035252.4686949,884916.8139999999
2059,74666,-15.049897987891681,-15549.238865591396,-37423071.92707134,2486599.707
2060,74667,-11016026.688178387,-5021907663.280811,-12086457306276.688,1097170.3
2061,74668,-17225491.763653614,-5021907886.469811,-12086457843435.97,701661.12
2062,74669,-5195593.189126097,-5021902758.470811,-12086445501643.74,2326287.887
2063,74670,0.7014278975246765,198.68878600823064,478193.4854922362,681742.8949999999
2064,74671,2.0967174697596085,667.1837860082305,1605742.0577423326,765836.1610000002
2065,74672,4.3618965596983665,1416.410786008231,3408941.310970699,781527.3160000001
2066,74673,1.9141799005654854,1318.8389218106995,3174110.595236899,1658209.1339999996
2067,74674,2.765055316888322,1605.9549218106995,3865125.944109691,1397847.602
2068,74675,4.676528175300127,2290.7899218106995,5513349.994477132,1178940.827
2069,74676,-205923.72428894375,-215903891.18369958,-519625874870.42676,2523390.04
2070,74677,-467146.9054972563,-215905330.8436996,-519629339766.69574,1112346.745
2071,74678,-290439.3339942876,-215902437.22069958,-519622375550.4666,1789090.921
2072,74679,-2093089.599053312,-863943844.2752949,-2079293585026.24,993408.78
2073,74680,-6504845.616488382,-863944628.0522949,-2079295471378.5752,319653.31599999993
2074,74681,-4482657.977386862,-863943935.2172949,-2079293803900.555,463852.87799999997
2075,74682,-146797.43328054214,-36239157.72285366,-87218456013.29724,594141.56
2076,74683,-1489692.2715642303,-36239870.53485366,-87220171570.88672,58549.12
2077,74684,-1315493.6310177264,-36239795.205853656,-87219990273.1004,66302.1
2078,74685,-9515199.090103464,-713905953.8904892,-1770531155491.912,186074.0
2079,74686,,-713906178.8904892,-1770531713505.9023,0.0
2080,74687,-22140773.535758052,-713905986.8904892,-1770531237333.964,79967.0
2081,74688,-911592.3684296976,-36482629.2292683,-90479188936.1212,99254.0
2082,74689,-3854780.0469216174,-36482713.2292683,-90479397261.34421,23472.0
2083,74690,-728556.8168270056,-36482449.2292683,-90478742524.929,124189.0
2084,74691,,-38327587.85017421,-95054801033.35326,0.0
2085,74692,,-38327587.85017421,-95054801033.35326,0.0
2086,74693,-3448506.6517649633,-38327521.85017421,-95054637349.24945,27564.0
2087,74694,-671828.1059357612,-20162464.615384616,-50004165924.798706,74430.0
2088,74695,-5112919.420190401,-20162539.615384616,-50004351929.46213,9780.0
2089,74696,-8052230.584454449,-20162539.615384616,-50004351929.46213,6210.0
2090,74698,-1185455.303935515,-148837575.87859425,-278106628847.9679,234599.0
2091,74699,-2975487.20073955,-148837713.87859425,-278106886704.32275,93466.0
2092,74700,-2171587.845760701,-148837543.87859425,-278106569055.18994,128066.0
2093,74701,-165726.65434047562,-63319618.90322581,-118314247253.51762,713912.0
2094,74702,-2258754.092680463,-63320448.90322581,-118315798128.69534,52381.0
2095,74703,-3175751.205646057,-63320442.90322581,-118315786917.5495,37256.0
2096,74704,-1202851.623742408,-381647591.21978027,-713117802245.429,592856.0
2097,74705,-2441792.9025081517,-381647853.21978027,-713118291798.7982,292047.0
2098,74706,-2069749.1185379312,-381647467.21978027,-713117570548.4144,344543.0
2099,74707,-500902.62503345765,-24963042.85714286,-46644052443.11558,93120.0
2100,74708,-1141951.4666400559,-24963094.85714286,-46644149606.37972,40846.0
2101,74709,-2504520.3488437464,-24963114.85714286,-46644186976.86593,18624.0
2102,74710,-6.3015073397841705,-1981.9008042895443,-2033515.3230703713,322703.0
2103,74711,-66.74687249301012,-2271.9008042895443,-2331067.7749458854,34924.0
2104,74712,-6.069628464693255,-1821.9008042895443,-1869348.4530700876,307984.0
2105,74713,-17.61361317410694,-6550.702412868633,-6721301.946399687,381597.0
2106,74714,-15.6405294354787,-6410.702412868633,-6577655.935149438,420552.0
2107,74715,-2.790232315250283,-4370.702412868633,-4484528.34264582,1607224.0
2108,74716,-12542915.236534467,-1124609885.147453,-1153898030100.2249,91996.0
2109,74717,-31293850.044870734,-1124609985.147453,-1153898132704.5186,36873.0
2110,74718,-15906615.290119387,-1124609550.147453,-1153897686375.8406,72542.0
2111,74719,-17.202904795545372,-780.4359673024522,-800760.812423046,46548.0
2112,74720,-35.27539176931026,-800.4359673024522,-821281.6711730815,23282.0
2113,74721,-5.569524691253033,-640.4359673024522,-657114.8011727978,117984.0
2114,74722,-17.202412045064293,-2341.3079019073566,-2402282.437269138,139648.0
2115,74723,-6.324713187964874,-2061.3079019073566,-2114990.414768642,334401.0
2116,74724,-2.418659310976469,-1481.3079019073566,-1519885.511017613,628400.0
2117,74725,-4495745.785807029,-403088524.31880105,-413586133565.3177,91995.0
2118,74726,-11210729.593668312,-403088624.31880105,-413586236169.6114,36892.0
