,cluster,variable,promedio,desviacion_estandar,n_clientes
85,6,share_familia_VIENESAS,0.18884681061697736,0.14888097775646672,864
86,6,share_marca_LA PREFERIDA,0.3669339103506481,0.21633140046904212,864
87,6,share_marca_SAN JORGE,0.4130918410228706,0.20606950645990157,864
88,6,skus_distintos,23.50115740740741,17.06188038506167,864
89,6,ticket_promedio,71053.69068366304,55432.9062396114,864
90,7,cv_ticket,0.3957196009907347,0.15454407855932026,7840
91,7,hhi_familias,0.2628542104247249,0.12740381900546116,7840
92,7,n_facturas,18.078061224489797,9.611925360598839,7840
93,7,recencia,11.056760204081632,8.3784674547963,7840
94,7,share_empaque_GRANEL,0.6327584340929951,0.20367455305647397,7840
95,7,share_familia_JAMON G1,0.19049659832136115,0.1808926634828639,7840
96,7,share_familia_JAMON G2,0.1513162253290185,0.16674192490160908,7840
97,7,share_familia_MORTADELAS,0.20222133149904406,0.16868747331772077,7840
98,7,share_familia_PARRILLEROS,0.0024434246390981637,0.008166721124167923,7840
99,7,share_familia_QUESOS,0.03143301593189305,0.06366835708205625,7840
100,7,share_familia_VIENESAS,0.07326187476413538,0.07271333528544184,7840
101,7,share_marca_LA PREFERIDA,0.5558175344736237,0.21059511150810648,7840
102,7,share_marca_SAN JORGE,0.2593027474586934,0.172757016098671,7840
103,7,skus_distintos,15.075382653061224,6.177276986648034,7840
104,7,ticket_promedio,55416.45647159926,28464.366327076405,7840
105,8,cv_ticket,0.4480467138393284,0.20648879858310504,1902
106,8,hhi_familias,0.2559387806687189,0.1486272869773102,1902
107,8,n_facturas,9.735015772870662,6.829109952286169,1902
108,8,recencia,68.57781282860147,19.69357558593541,1902
109,8,share_empaque_GRANEL,0.3403426355090855,0.2729755501518807,1902
110,8,share_familia_JAMON G1,0.07763762056667425,0.13055797891835774,1902
111,8,share_familia_JAMON G2,0.0811769880169602,0.12105345609255079,1902
112,8,share_familia_MORTADELAS,0.1347085712430798,0.1376386450161874,1902
113,8,share_familia_PARRILLEROS,0.009771366215855703,0.02383180695337157,1902
114,8,share_familia_QUESOS,0.11770102291438164,0.1671237062855757,1902
115,8,share_familia_VIENESAS,0.1404812259064896,0.14173712113564713,1902
116,8,share_marca_LA PREFERIDA,0.3442320466493768,0.22780085585725038,1902
117,8,share_marca_SAN JORGE,0.38765462358408065,0.22668021611844666,1902
118,8,skus_distintos,13.669821240799159,8.576868679703594,1902
119,8,ticket_promedio,50287.94237601116,36571.73222854083,1902
120,9,cv_ticket,0.43570151495979437,0.16573278277001202,4441
121,9,hhi_familias,0.29506102006993723,0.13565424884049396,4441
122,9,n_facturas,19.89034001351047,10.962380343236138,4441
123,9,recencia,10.962395856789012,8.589915521877492,4441
124,9,share_empaque_GRANEL,0.195559715362068,0.16933505927206383,4441
125,9,share_familia_JAMON G1,0.03805586913201121,0.06941373567847493,4441
126,9,share_familia_JAMON G2,0.048054465981199605,0.07380065875175525,4441
127,9,share_familia_MORTADELAS,0.08880413945971166,0.09718396345787535,4441
128,9,share_familia_PARRILLEROS,0.004730052363607527,0.011688768623345256,4441
129,9,share_familia_QUESOS,0.43076012266511526,0.14837220436060167,4441
130,9,share_familia_VIENESAS,0.08624697234839183,0.08370414754978171,4441
131,9,share_marca_LA PREFERIDA,0.21902927597715688,0.1435066106808495,4441
132,9,share_marca_SAN JORGE,0.2273888381356964,0.13457652114835256,4441
133,9,skus_distintos,14.993469939202882,6.829599242793829,4441
134,9,ticket_promedio,49224.437626324594,26970.03941204093,4441
135,10,cv_ticket,0.56378065378852,0.1957219517228133,3502
136,10,hhi_familias,0.16531221692664683,0.06346010226636468,3502
137,10,n_facturas,25.714734437464305,15.829804050828933,3502
138,10,recencia,10.854654483152485,9.068482023953784,3502
139,10,share_empaque_GRANEL,0.31580412685859904,0.21947253853875873,3502
140,10,share_familia_JAMON G1,0.06489996442954475,0.08558797983936581,3502
141,10,share_familia_JAMON G2,0.05981858008693925,0.07934453538140077,3502
142,10,share_familia_MORTADELAS,0.128568477338928,0.10797195321261807,3502
143,10,share_familia_PARRILLEROS,0.08181916377362182,0.027484727169993638,3502
144,10,share_familia_QUESOS,0.08054115983632042,0.11199483716819088,3502
145,10,share_familia_VIENESAS,0.18085624942232845,0.11322356471151096,3502
146,10,share_marca_LA PREFERIDA,0.32155356970670484,0.18160340380341003,3502
147,10,share_marca_SAN JORGE,0.436315887572547,0.17472820014666074,3502
148,10,skus_distintos,25.270702455739578,12.854172689013566,3502
149,10,ticket_promedio,58291.35039741514,35037.719753031815,3502
150,11,cv_ticket,0.5402105458714604,0.2239471134187048,304
151,11,hhi_familias,0.3415999617112478,0.09434579616830913,304
152,11,n_facturas,18.549342105263158,14.610143845839067,304
153,11,recencia,25.598684210526315,36.94054805592664,304
154,11,share_empaque_GRANEL,0.09770823788620447,0.13726614426421743,304
155,11,share_familia_JAMON G1,0.020757525819457577,0.05007096084222736,304
156,11,share_familia_JAMON G2,0.01570456579070237,0.05274934005750509,304
157,11,share_familia_MORTADELAS,0.0277350565578739,0.05220665563525021,304
158,11,share_familia_PARRILLEROS,0.46284265036861566,0.08200513285705444,304
159,11,share_familia_QUESOS,0.048790398289349536,0.08851749885560904,304
160,11,share_familia_VIENESAS,0.21575930131928747,0.15907045746060142,304
161,11,share_marca_LA PREFERIDA,0.372757990298754,0.24920244401704436,304
162,11,share_marca_SAN JORGE,0.41041990045286936,0.24416459068515106,304
163,11,skus_distintos,14.861842105263158,10.259375068368875,304
164,11,ticket_promedio,79519.9749901261,71629.94324411031,304
