Cod Cliente,cluster,cluster_agrupado
23650,8,Charcutería colonial/salchichón
23708,3,Queso gauda + básicos
23752,3,Queso gauda + básicos
23807,9,Mortadelas + básicos
23828,6,Charcutería colonial/salchichón
23850,1,Salame laminado + básicos
23926,13,Formato chico paté-salame-lácteos
24101,2,Mortadelas + básicos
24201,8,Charcutería colonial/salchichón
24394,7,Fiambrería tradicional surtida
24541,10,Sin un comportamiento claro
24932,11,Básica vienesa-paté
25042,12,Básica vienesa-paté
25047,4,Queso gauda + básicos
25218,12,Básica vienesa-paté
25263,2,Mortadelas + básicos
25357,3,Queso gauda + básicos
25364,8,Charcutería colonial/salchichón
25382,6,Charcutería colonial/salchichón
25407,6,Charcutería colonial/salchichón
25778,6,Charcutería colonial/salchichón
25917,4,Queso gauda + básicos
26025,10,Sin un comportamiento claro
26085,3,Queso gauda + básicos
26106,8,Charcutería colonial/salchichón
26143,1,Salame laminado + básicos
26282,12,Básica vienesa-paté
26311,6,Charcutería colonial/salchichón
26375,11,Básica vienesa-paté
26452,12,Básica vienesa-paté
26469,6,Charcutería colonial/salchichón
26511,3,Queso gauda + básicos
26565,4,Queso gauda + básicos
26607,3,Queso gauda + básicos
26661,3,Queso gauda + básicos
26677,13,Formato chico paté-salame-lácteos
26718,6,Charcutería colonial/salchichón
26745,8,Charcutería colonial/salchichón
26871,5,Salame chico / comida rápida
26945,6,Charcutería colonial/salchichón
27036,2,Mortadelas + básicos
27101,6,Charcutería colonial/salchichón
27137,6,Charcutería colonial/salchichón
27168,8,Charcutería colonial/salchichón
27184,7,Fiambrería tradicional surtida
27217,6,Charcutería colonial/salchichón
27584,1,Salame laminado + básicos
27939,4,Queso gauda + básicos
27958,12,Básica vienesa-paté
28004,4,Queso gauda + básicos
28047,10,Sin un comportamiento claro
28049,1,Salame laminado + básicos
28111,3,Queso gauda + básicos
28123,7,Fiambrería tradicional surtida
28142,6,Charcutería colonial/salchichón
28179,10,Sin un comportamiento claro
28289,12,Básica vienesa-paté
28343,8,Charcutería colonial/salchichón
28349,8,Charcutería colonial/salchichón
28376,7,Fiambrería tradicional surtida
28396,10,Sin un comportamiento claro
28399,3,Queso gauda + básicos
28410,6,Charcutería colonial/salchichón
28426,12,Básica vienesa-paté
28587,8,Charcutería colonial/salchichón
28598,6,Charcutería colonial/salchichón
28664,9,Mortadelas + básicos
28665,6,Charcutería colonial/salchichón
28684,6,Charcutería colonial/salchichón
28968,2,Mortadelas + básicos
28989,10,Sin un comportamiento claro
28990,6,Charcutería colonial/salchichón
29102,5,Salame chico / comida rápida
29155,8,Charcutería colonial/salchichón
29261,10,Sin un comportamiento claro
29408,8,Charcutería colonial/salchichón
29492,9,Mortadelas + básicos
29524,7,Fiambrería tradicional surtida
29689,7,Fiambrería tradicional surtida
29690,7,Fiambrería tradicional surtida
29720,6,Charcutería colonial/salchichón
29923,6,Charcutería colonial/salchichón
29963,6,Charcutería colonial/salchichón
30018,4,Queso gauda + básicos
30043,6,Charcutería colonial/salchichón
30068,2,Mortadelas + básicos
30086,11,Básica vienesa-paté
30353,9,Mortadelas + básicos
30408,11,Básica vienesa-paté
30424,7,Fiambrería tradicional surtida
30494,10,Sin un comportamiento claro
30719,3,Queso gauda + básicos
30766,1,Salame laminado + básicos
30863,9,Mortadelas + básicos
31013,10,Sin un comportamiento claro
31017,4,Queso gauda + básicos
31067,1,Salame laminado + básicos
31069,6,Charcutería colonial/salchichón
31083,13,Formato chico paté-salame-lácteos
31436,7,Fiambrería tradicional surtida
31531,2,Mortadelas + básicos
31574,12,Básica vienesa-paté
31612,6,Charcutería colonial/salchichón
31642,2,Mortadelas + básicos
31649,9,Mortadelas + básicos
31759,7,Fiambrería tradicional surtida
32141,8,Charcutería colonial/salchichón
32224,6,Charcutería colonial/salchichón
32333,2,Mortadelas + básicos
32398,8,Charcutería colonial/salchichón
32518,2,Mortadelas + básicos
32568,13,Formato chico paté-salame-lácteos
32753,6,Charcutería colonial/salchichón
32831,2,Mortadelas + básicos
32947,2,Mortadelas + básicos
32982,4,Queso gauda + básicos
33092,3,Queso gauda + básicos
33169,8,Charcutería colonial/salchichón
33392,9,Mortadelas + básicos
33449,2,Mortadelas + básicos
33596,7,Fiambrería tradicional surtida
33741,3,Queso gauda + básicos
33871,12,Básica vienesa-paté
33961,1,Salame laminado + básicos
34018,6,Charcutería colonial/salchichón
34161,12,Básica vienesa-paté
34174,1,Salame laminado + básicos
34282,12,Básica vienesa-paté
34352,6,Charcutería colonial/salchichón
34392,1,Salame laminado + básicos
34406,6,Charcutería colonial/salchichón
34503,1,Salame laminado + básicos
34609,6,Charcutería colonial/salchichón
34637,3,Queso gauda + básicos
34650,8,Charcutería colonial/salchichón
34757,9,Mortadelas + básicos
34830,6,Charcutería colonial/salchichón
